relation,time
public,0.182570934296
personal,0.0190579891205
public,0.1972219944
personal,0.00984597206116
public,0.206237792969
personal,0.205121994019
public,0.017187833786
personal,0.178790092468
public,0.0310919284821
personal,0.180462121964
public,0.0380051136017
personal,0.156919002533
public,0.0572600364685
personal,0.153022050858
public,0.0647008419037
personal,0.142513036728
public,0.0734710693359
personal,0.132132053375
public,0.0855550765991
personal,0.104784965515
public,0.109583854675
personal,0.0955610275269
public,0.123722076416
personal,0.0778739452362
public,0.141798973083
personal,0.0634109973907
public,0.172050952911
personal,0.0345151424408
public,0.159324169159
personal,0.0396840572357
public,0.179899930954
personal,0.0240581035614
public,0.188246965408
personal,0.0138919353485
public,0.204546928406
personal,7.70092010498e-05
public,0.214643001556
personal,0.193146944046
public,0.023580789566
personal,0.177705049515
public,0.0376138687134
personal,0.167876005173
public,0.0500590801239
personal,0.151299953461
public,0.0644071102142
personal,0.141077041626
public,0.0765740871429
personal,0.124344110489
public,0.0889768600464
personal,0.142234802246
public,0.0837738513947
personal,0.0910429954529
public,0.115607976913
personal,0.0879209041595
public,0.129197835922
personal,0.0754799842834
public,0.142688035965
personal,0.0589661598206
public,0.158220052719
personal,0.0480229854584
public,0.169862985611
personal,0.0337030887604
public,0.18581700325
personal,0.016233921051
public,0.193646907806
personal,0.00847220420837
public,0.279456138611
personal,0.207770824432
public,0.00154089927673
personal,0.121104955673
public,0.0306499004364
personal,0.173648834229
public,0.0426118373871
personal,0.16025018692
public,0.0591080188751
personal,0.1437458992
public,0.0803201198578
personal,0.127108097076
public,0.077868938446
personal,0.121330022812
public,0.0954749584198
personal,0.110988855362
public,0.105553150177
personal,0.0953299999237
public,0.122133016586
personal,0.0802710056305
public,0.136911869049
personal,0.0668468475342
public,0.14963388443
personal,0.0551829338074
public,0.164420843124
personal,0.03781914711
public,2.55865001678
personal,2.64623308182
public,0.00216698646545
personal,4.10079956055e-05
public,0.000187873840332
personal,4.00543212891e-05
public,0.183475017548
personal,0.113634109497
public,0.0950231552124
personal,0.108955144882
public,0.109053134918
personal,0.0939819812775
public,0.125941038132
personal,0.0801742076874
public,0.131414890289
personal,0.0696580410004
public,0.147392988205
personal,0.0581591129303
public,0.158219814301
personal,0.0429668426514
public,0.175109863281
personal,0.0341410636902
public,0.182296991348
personal,0.0208089351654
public,0.193925142288
personal,0.00424695014954
public,0.229046106339
personal,0.178591012955
public,0.0258798599243
personal,0.177441835403
public,0.0360989570618
personal,0.171643018723
public,0.0416119098663
personal,0.156522035599
public,0.0614731311798
personal,0.142543077469
public,0.0744190216064
personal,0.232892036438
public,0.207500934601
personal,0.199124097824
public,0.0107781887054
personal,0.194003105164
public,0.024756193161
personal,0.177989006042
public,0.0468699932098
personal,0.156765937805
public,0.0494220256805
personal,0.154262065887
public,0.0628290176392
personal,0.141260147095
public,0.0733349323273
personal,0.127398967743
public,0.106568098068
personal,0.0962750911713
public,0.101998090744
personal,0.146328926086
public,0.0806741714478
personal,0.0814881324768
public,0.124282836914
personal,0.0769548416138
public,0.140585899353
personal,0.0725989341736
public,0.152692079544
personal,0.0492510795593
public,0.163236856461
personal,0.0400578975677
public,0.174180984497
personal,0.0243189334869
public,0.190254926682
personal,0.0134501457214
public,0.21416592598
personal,0.193705797195
public,0.0109422206879
personal,0.192608118057
public,0.0275690555573
personal,0.180670976639
public,0.0313069820404
personal,0.16633105278
public,0.0529191493988
personal,0.145615816116
public,0.0675609111786
